o080010010011	RUT 1:1!1	cj	and		וַ		2050b		C	H	c	conjunction							
o080010010012	RUT 1:1!1	verb	happened	他是	יְהִ֗י	 	1961	qal	Vqw3ms	H	1961	verb	third	masculine	singular				
o080010010021	RUT 1:1!2	prep	in	在	בִּ		0871a		R	H	b	preposition							
o080010010022	RUT 1:1!2	noun	days	日子	ימֵי֙	 	3117		Ncmpc	H	3117	noun		masculine	plural	construct		002854001003000	
o080010010031	RUT 1:1!3	verb	ruled	统治	שְׁפֹ֣ט	 	8199	qal	Vqc	H	8199	verb							
o080010010041	RUT 1:1!4	art	the		הַ		1886a		Td	H	d	particle							
o080010010042	RUT 1:1!4	verb	judges	士师	שֹּׁפְטִ֔ים	 	8199	qal	Vqrmpa	H	8199	verb		masculine	plural	absolute			
o080010010051	RUT 1:1!5	cj	that		וַ		2050b		C	H	c	conjunction							
o080010010052	RUT 1:1!5	verb	there was	发生	יְהִ֥י	 	1961	qal	Vqw3ms	H	1961	verb	third	masculine	singular				
o080010010061	RUT 1:1!6	noun	famine	饥荒	רָעָ֖ב	 	7458		Ncmsa	H	7458	noun		masculine	singular	absolute		006850001001000	
o080010010071	RUT 1:1!7	prep	in	中	בָּ		0871a		Rd	H	b	preposition							
o080010010071ה	RUT 1:1!7	art	the			1886a		Td	H	d	particle							
o080010010072	RUT 1:1!7	noun	land	国	אָ֑רֶץ	 	0776		Ncbsa	H	776	noun		both	singular	absolute		000715001001000	
o080010010081	RUT 1:1!8	cj	and		וַ		2050b		C	H	c	conjunction							
o080010010082	RUT 1:1!8	verb	went	去	יֵּ֨לֶךְ	 	1980	qal	Vqw3ms	H	3212	verb	third	masculine	singular			001824001002000	
o080010010091	RUT 1:1!9	noun	man	人	אִ֜ישׁ	 	0376		Ncmsa	H	376	noun		masculine	singular	absolute			
o080010010101	RUT 1:1!10	prep	of	从	מִ		4480		R	H	m	preposition							
o080010010102	RUT 1:1!10	noun			בֵּ֧ית	 	1035		Np	H	1035+	noun							
o080010010111	RUT 1:1!11	noun			לֶ֣חֶם	 	1035		Np	H	1035	noun							
o080010010121	RUT 1:1!12	noun	Judah	犹大	יְהוּדָ֗ה	 	3063		Np	H	3063	noun						002819001001000	
o080010010131	RUT 1:1!13	prep	to		לָ		3807a		R	H	l	preposition							
o080010010132	RUT 1:1!13	verb	sojourn	寄居	גוּר֙	 	1481	qal	Vqc	H	1481 a	verb							
o080010010141	RUT 1:1!14	prep	in	往	בִּ		0871a		R	H	b	preposition							
o080010010142	RUT 1:1!14	noun	country	地	שְׂדֵ֣י	 	7704		Ncmpc	H	7704 b	noun		masculine	plural	construct		006983001003000	
